Dia,Susceptibles,Infectados,Recuperados,Muertos,Infectados_Acumulados,R0
324,945167,5638,41236,7959,6032,0.0015988630307337006
325,944839,5632,41515,8014,6032,-0.001064207165661582
326,944484,5634,41818,8064,6034,0.0003551136363636364
327,944104,5642,42128,8126,6042,0.0014199503017394391
328,943753,5651,42416,8180,6051,0.0015951790145338532
329,943381,5680,42709,8230,6080,0.00513183507343833
330,943013,5710,43003,8274,6110,0.00528169014084507
331,942658,5735,43287,8320,6135,0.0043782837127845885
332,942305,5737,43583,8375,6137,0.0003487358326068004
333,941936,5779,43850,8435,6179,0.007320899424786474
334,941571,5824,44125,8480,6224,0.007786814327738363
335,941204,5867,44409,8520,6267,0.007383241758241758
336,940834,5900,44696,8570,6300,0.0056246804158854614
337,940438,5949,44983,8630,6349,0.008305084745762711
338,940054,5993,45273,8680,6393,0.007396201042191965
339,939662,6027,45566,8745,6427,0.005673285499749708
340,939315,5999,45891,8795,6427,-0.004645760743321719
341,938944,6006,46199,8851,6434,0.0011668611435239206
342,938540,6055,46488,8917,6483,0.008158508158508158
343,938155,6099,46767,8979,6527,0.00726672171758877
344,937746,6203,47029,9022,6631,0.01705197573372684
345,937373,6183,47368,9076,6631,-0.003224246332419797
346,936989,6179,47695,9137,6631,-0.0006469351447517387
347,936653,6148,48011,9188,6631,-0.005016993040945137
348,936263,6178,48298,9261,6661,0.004879635653871178
349,935880,6203,48603,9314,6686,0.004046617028164455
350,935477,6262,48899,9362,6745,0.0095115266806384
351,935074,6304,49200,9422,6787,0.00670712232513574
352,934674,6333,49503,9490,6816,0.004600253807106599
353,934289,6362,49804,9545,6845,0.004579188378335702
354,933923,6323,50157,9597,6845,-0.006130147752279157
355,933537,6345,50461,9657,6867,0.003479361062786652
356,933181,6329,50767,9723,6867,-0.00252167060677699
357,932815,6355,51043,9787,6893,0.004108073945331016
358,932416,6366,51365,9853,6904,0.0017309205350118017
359,932049,6379,51661,9911,6917,0.0020420986490732014
360,931629,6393,52000,9978,6931,0.002194701363850133
361,931213,6444,52286,10057,6982,0.007977475363679024
362,930819,6447,52624,10110,6985,0.0004655493482309125
363,930421,6464,52939,10176,7002,0.002636885373041725
364,929985,6534,53239,10242,7072,0.010829207920792078
