Dia,Susceptibles,Infectados,Recuperados,Muertos,Infectados_Acumulados,R0
168,981037,2729,10353,1881,2818,-0.004377964246625319
169,980860,2715,10521,1904,2818,-0.005130084279956028
170,980704,2708,10661,1927,2818,-0.002578268876611418
171,980524,2721,10802,1953,2831,0.0048005908419497785
172,980334,2753,10932,1981,2863,0.011760382212421904
173,980153,2791,11058,1998,2901,0.013803123864874683
174,979968,2780,11211,2041,2901,-0.003941239699032604
175,979776,2780,11367,2077,2901,0.0
176,979584,2833,11480,2103,2954,0.019064748201438848
177,979396,2852,11621,2131,2973,0.006706671373102718
178,979223,2862,11765,2150,2983,0.0035063113604488078
179,979034,2889,11907,2170,3010,0.009433962264150943
180,978825,2926,12048,2201,3047,0.012807199723087574
181,978621,2942,12206,2231,3063,0.005468215994531784
182,978412,2992,12339,2257,3113,0.01699524133242692
183,978221,3001,12491,2287,3122,0.0030080213903743314
184,978026,3017,12640,2317,3138,0.005331556147950683
185,977838,3017,12799,2346,3138,0.0
186,977629,3055,12949,2367,3176,0.012595293337752734
187,977402,3108,13095,2395,3229,0.01734860883797054
188,977185,3153,13233,2429,3274,0.01447876447876448
189,976970,3185,13384,2461,3306,0.01014906438312718
190,976757,3206,13548,2489,3327,0.006593406593406593
191,976549,3203,13722,2526,3327,-0.0009357454772301934
192,976335,3210,13902,2553,3334,0.0021854511395566654
193,976115,3214,14086,2585,3338,0.0012461059190031153
194,975909,3253,14218,2621,3377,0.012134411947728687
195,975671,3302,14371,2656,3426,0.015063018751921304
196,975443,3334,14540,2683,3458,0.009691096305269533
197,975208,3390,14691,2711,3514,0.016796640671865627
198,974969,3450,14837,2744,3574,0.017699115044247787
199,974736,3466,15028,2770,3590,0.00463768115942029
200,974524,3473,15191,2812,3597,0.002019619157530294
201,974302,3483,15375,2840,3607,0.0028793550244745176
202,974082,3477,15570,2871,3607,-0.0017226528854435831
203,973849,3505,15743,2903,3635,0.00805291918320391
204,973599,3549,15913,2939,3679,0.012553495007132667
205,973380,3547,16092,2981,3679,-0.0005635390250774866
206,973156,3550,16276,3018,3682,0.0008457851705666761
207,972920,3587,16443,3052,3719,0.010422535211267606
208,972693,3593,16620,3094,3725,0.0016727069974909396
209,972449,3621,16798,3132,3753,0.007792930698580574
210,972194,3643,17004,3159,3775,0.006075669704501519
211,971966,3655,17185,3194,3787,0.0032939884710403516
212,971752,3665,17367,3216,3797,0.0027359781121751026
213,971526,3659,17559,3256,3797,-0.0016371077762619372
214,971306,3644,17755,3295,3797,-0.004099480732440558
215,971101,3635,17934,3330,3797,-0.002469813391877058
216,970908,3622,18109,3362,3797,-0.003576341127922971
217,970667,3656,18286,3392,3831,0.009387078961899503
